27/7/35/h|LongingForRest||hCN,hCI,hCX
29/4/36/h|biggiemac42||
30/3/41/h|LongingForRest||hNC,hNX
33/3/39/h|LongingForRest||
40/3/34/h|biggiemac42||hNI
168/9/47/c|Hersmunch||cCN,cCI,cCX
168/9/49|Hersmunch||CN,CI,CX
171/9/46|jpgrossman||
172/9/41|Hersmunch||
174/9/37|Hersmunch||
176/9/31|Hersmunch||
178/9/29|Hersmunch||
179/9/26|Hersmunch||
182/8/26|Hersmunch||
186/7/25|Hersmunch||
189/7/24|Hersmunch||
201/7/23|LongingForRest||
211/6/22|HikariToyama||IC,cIC,hIC
212/5/22|ImprobableFish||IN,IX,cIN,cIX,hIN,hIX
263/4/27|LongingForRest/Hersmunch||NC,cNC
275/4/26|LongingForRest/Hersmunch||
283/4/25|LongingForRest/Hersmunch||NX,cNX
312/4/24|Hersmunch||
318/4/23|Hersmunch||NI,cNI
